,0
386,-46.78186771
387,-46.72766933
388,-46.78186771
389,-46.52159257
390,-46.52159257
391,-47.0054967
392,-46.44512961
393,-46.78186771
394,-46.68499082
395,-46.78186771
396,-46.78186771
397,-46.78186771
398,-46.74357173
399,-46.78186771
400,-46.78186771
401,-46.42969322
402,-46.42969322
403,-46.64193686
404,-46.78186771
405,-46.78186771
406,-46.78186771
407,-46.78186771
408,-46.34805773
409,-46.53310422
410,-46.78186771
411,-46.78186771
412,-46.78186771
413,-46.61987527
414,-46.34033329
415,-46.74357173
416,-46.55942576
417,-46.55942576
418,-46.09121963
419,-46.34805773
420,-46.34805773
421,-46.78186771
422,-46.78186771
423,-46.48737379
424,-46.09121963
425,-46.42261264
426,-46.71232391
427,-46.70196938
428,-46.78186771
429,-46.78186771
430,-46.28470724
431,-46.09121963
432,-46.63706755
433,-46.63706755
434,-46.43537659
435,-46.71232391
436,-46.78186771
437,-46.42261264
438,-46.42261264
439,-46.78186771
440,-46.78186771
441,-46.78186771
442,-46.68724384
443,-46.20857163
444,-46.20857163
445,-46.78186771
446,-46.78186771
447,-46.50652388
448,-46.46153744
449,-46.78186771
450,-46.59231047
451,-46.6803161
452,-46.78186771
453,-46.78186771
454,-46.7808991
455,-46.78186771
456,-46.47055002
457,-46.7808991
458,-46.91580055
459,-46.91580055
460,-46.78186771
461,-46.78186771
462,-46.8105087
463,-46.78186771
464,-46.29406221
465,-46.57836431
466,-46.64713441
467,-46.78186771
468,-46.74971289
469,-46.78186771
470,-46.78186771
471,-46.53982484
472,-46.53982484
473,-46.91580055
474,-46.78186771
475,-46.78186771
476,-46.78186771
477,-46.78186771
478,-46.78186771
479,-46.78186771
480,-46.51749544
481,-46.64193686
482,-46.78186771
483,-46.56041177
484,-46.56041177
485,-46.78186771
486,-46.7808223
487,-46.7808223
488,-46.43537659
489,-46.43537659
490,-46.43537659
491,-46.68724384
492,-46.78186771
493,-46.43537659
494,-46.7808991
495,-46.29845648
496,-46.42261264
497,-46.66652632
498,-46.09121963
499,-46.78186771
500,-46.78186771
501,-46.78186771
502,-46.75175425
503,-46.42969322
504,-46.78186771
505,-46.34033329
506,-46.46153744
507,-46.78186771
508,-46.73345303
509,-46.76410431
510,-46.64193686
511,-46.6894768
512,-46.78186771
513,-46.536915
514,-46.69452907
515,-46.69452907
516,-46.78186771
517,-46.78186771
518,-46.78186771
519,-45.96350265
520,-46.60968099
521,-46.60968099
522,-46.60968099
523,-45.96350265
524,-46.36978573
525,-46.36978573
526,-46.36978573
527,-46.36978573
528,-46.36978573
529,-46.64067057
530,-46.64067057
531,-46.64067057
532,-46.64067057
533,-46.64067057
534,-46.78186771
535,-46.64067057
536,-46.54842057
537,-46.54842057
538,-46.78186771
539,-46.65040369
540,-46.64067057
541,-46.64067057
542,-46.64067057
543,-46.78186771
544,-46.78186771
545,-46.54842057
546,-46.54842057
547,-46.54842057
548,-46.65040369
549,-46.78186771
550,-46.78186771
551,-46.67705677
552,-46.67705677
553,-46.67705677
554,-46.65040369
555,-46.81568811
556,-46.81568811
557,-46.81568811
558,-46.81568811
559,-46.81568811
560,-46.81568811
561,-46.81568811
562,-46.81568811
563,-46.78186771
564,-46.78186771
565,-46.28809083
566,-46.75247625
567,-46.72586298
568,-46.72586298
569,-46.75104206
570,-46.78186771
571,-46.75104206
572,-46.75104206
573,-46.79882165
574,-46.53031684
575,-46.89999773
576,-46.89999773
577,-46.89999773
578,-46.73648339
579,-46.53031684
580,-46.75104206
581,-46.75104206
582,-46.62044539
583,-46.62044539
584,-46.28809083
585,-46.78186771
586,-46.83064923
587,-46.89999773
588,-46.89999773
589,-46.62044539
590,-46.62044539
591,-46.28809083
592,-46.83064923
593,-46.33928871
594,-46.73648339
595,-46.75247625
596,-46.33928871
597,-46.79882165
598,-46.83064923
599,-46.83064923
600,-46.33928871
601,-46.53031684
602,-46.50344621
603,-46.37195977
604,-46.85980785
605,-46.91050514
606,-46.91050514
607,-46.91050514
608,-46.91050514
609,-46.81568811
610,-46.81568811
611,-46.81568811
612,-46.64953935
613,-46.64953935
614,-46.64953935
615,-46.52957569
616,-46.18262532
617,-46.52957569
618,-46.81568811
619,-46.18262532
620,-46.81568811
621,-46.78525221
622,-46.52957569
623,-46.52957569
624,-46.42918845
625,-46.42918845
626,-46.42918845
627,-46.78525221
628,-46.78186771
629,-46.78186771
630,-46.78186771
631,-46.63672599
632,-46.63672599
633,-46.64953935
634,-46.64953935
635,-46.52957569
636,-46.78525221
637,-46.78525221
638,-46.52957569
639,-46.42918845
640,-46.42918845
641,-46.78186771
642,-46.63672599
643,-46.6476569
644,-46.6476569
645,-46.65369675
646,-46.66847463
647,-46.78186771
648,-46.78186771
649,-46.63672599
650,-46.63672599
651,-46.65369675
652,-46.65369675
653,-46.81568811
654,-46.72128418
655,-46.72128418
656,-46.6476569
657,-46.55151321
658,-46.65369675
659,-46.18262532
660,-46.66847463
661,-46.52957569
662,-46.78186771
663,-46.78186771
664,-46.78186771
665,-46.64953935
666,-46.81568811
667,-46.72128418
668,-46.6476569
669,-46.6476569
670,-46.65369675
671,-46.66847463
672,-46.41897203
673,-46.42415199
674,-46.42415199
675,-46.42415199
676,-46.78525221
677,-46.78525221
678,-46.78525221
679,-46.78186771
680,-46.78186771
681,-46.79248082
682,-46.79248082
683,-46.18262532
684,-46.42398545
685,-46.64953935
686,-46.64953935
687,-46.53190547
688,-46.53190547
689,-46.42415199
690,-46.80433517
691,-46.79248082
692,-46.42398545
693,-46.42398545
694,-46.42398545
695,-46.78186771
696,-46.78186771
697,-46.78186771
698,-46.78186771
699,-46.63672599
700,-46.63672599
701,-46.53190547
702,-46.52957569
703,-46.40901317
704,-46.41897203
705,-46.42398545
706,-46.53190547
707,-46.34425034
708,-46.79248082
709,-46.75205882
710,-46.75205882
711,-46.78525221
712,-46.42918845
713,-46.75205882
714,-46.72128418
715,-46.72128418
716,-46.72128418
717,-46.65369675
718,-46.66847463
719,-46.80317901
720,-46.53190547
721,-46.40901317
722,-46.40901317
723,-46.40901317
724,-46.84953791
725,-46.82353287
726,-46.63672599
727,-46.58414721
728,-46.58414721
729,-46.34425034
730,-46.34425034
731,-46.72128418
732,-46.72128418
733,-46.72128418
734,-46.6476569
735,-46.80317901
736,-46.72128418
737,-46.72128418
738,-46.80317901
739,-46.75205882
740,-46.65369675
741,-46.84953791
742,-46.84953791
743,-46.63466812
744,-46.65369675
745,-46.35916015
746,-46.35916015
747,-46.78348052
748,-46.78348052
749,-46.64110376
750,-46.78967089
751,-46.56278784
752,-46.81095251
753,-46.81095251
754,-46.64814927
755,-46.64814927
756,-46.78186771
757,-46.78186771
758,-46.78967089
759,-46.78967089
760,-46.81095251
761,-46.65120635
762,-46.64110376
763,-46.64814927
764,-46.63158015
765,-46.78186771
766,-46.55121397
767,-46.52119903
768,-46.78186771
769,-46.78186771
770,-46.56278784
771,-46.56278784
772,-46.35916015
773,-46.2308254
774,-46.78186771
775,-46.78967089
776,-46.81095251
777,-46.2308254
778,-46.80116622
779,-46.63158015
780,-46.65120635
781,-46.80116622
782,-46.80116622
783,-46.63158015
784,-46.78186771
785,-46.64195856
786,-46.62937204
787,-46.78186771
788,-46.78186771
789,-46.78186771
790,-46.79025008
791,-46.78186771
792,-46.78186771
793,-46.62937204
794,-46.78186771
795,-46.79025008
796,-46.79025008
797,-46.78186771
798,-46.39044839
799,-46.78186771
800,-46.78186771
801,-46.78186771
802,-46.7994693
803,-46.61519738
804,-46.61519738
805,-46.42773354
806,-46.42773354
807,-46.52100655
808,-46.52100655
809,-46.64154663
810,-46.64154663
811,-46.62187225
812,-46.52119903
813,-46.52119903
814,-46.78186771
815,-46.78186771
816,-46.77739802
817,-46.77739802
818,-46.77739802
819,-46.80559542
820,-46.78186771
821,-46.63304222
822,-46.63304222
823,-46.78186771
824,-46.79025008
825,-46.52100655
826,-46.89017952
827,-46.71908161
828,-46.71908161
829,-46.71908161
830,-46.64195856
831,-46.78186771
832,-46.4118947
833,-46.58559143
834,-46.41593803
835,-46.2308254
836,-46.65120635
837,-46.7994693
838,-46.42773354
839,-46.64154663
840,-46.32076036
841,-46.78186771
842,-46.78186771
843,-46.76121224
844,-46.78186771
845,-46.66980129
846,-46.64333469
847,-46.80351716
848,-46.41593803
849,-46.69501425
850,-46.69501425
851,-46.65062102
852,-46.65062102
853,-46.78186771
854,-46.89017952
855,-46.78186771
856,-46.66980129
857,-46.4118947
858,-46.62937204
859,-46.78186771
860,-46.70993199
861,-46.32076036
862,-46.80351716
863,-46.78186771
864,-46.78186771
865,-46.78186771
866,-46.78186771
867,-46.86098861
868,-46.70993199
869,-46.43817276
870,-46.64655583
871,-46.64655583
872,-46.64655583
873,-46.77746742
874,-46.72869699
875,-46.6153583
876,-46.6153583
877,-46.55121397
878,-46.52119903
879,-46.78186771
880,-46.5488779
881,-46.76121224
882,-46.72854562
883,-46.39044839
884,-46.66980129
885,-46.63201117
886,-46.63201117
887,-46.33893283
888,-46.80559542
889,-46.63149401
890,-46.62937204
891,-46.65120635
892,-46.78186771
893,-46.72854562
894,-46.78186771
895,-46.87917255
896,-46.72952413
897,-46.78186771
898,-46.86098861
899,-46.86098861
900,-46.70993199
901,-46.88658398
902,-46.28468367
903,-45.96350265
904,-46.78186771
905,-46.78186771
906,-46.78186771
907,-46.78186771
908,-46.82287019
909,-46.64159046
910,-46.65062102
911,-46.78186771
912,-46.78186771
913,-46.61841507
914,-45.96350265
915,-46.78186771
916,-46.78186771
917,-46.55504695
918,-46.55504695
919,-46.66660674
920,-46.32698486
921,-46.74319345
922,-46.52119903
923,-46.79025008
924,-46.5488779
925,-46.78186771
926,-46.78186771
927,-46.78186771
928,-46.78186771
929,-46.65120635
930,-46.65120635
931,-46.78186771
932,-46.87917255
933,-46.78207531
934,-46.78207531
935,-46.78207531
936,-46.78186771
937,-46.78186771
938,-46.62526742
939,-46.80559542
940,-46.63149401
941,-46.62526742
942,-46.59935246
943,-46.78186771
944,-46.7994693
945,-46.64154663
946,-46.78186771
947,-46.59935246
948,-46.39419428
949,-46.39419428
950,-46.78186771
951,-46.85855729
952,-46.85855729
953,-46.56039801
954,-46.42773354
955,-46.78186771
956,-46.89017952
957,-46.78186771
958,-46.61841507
959,-46.82189706
960,-46.82189706
961,-46.82189706
962,-46.66660674
963,-46.4118947
964,-46.30777921
965,-46.82189706
966,-46.65062102
967,-46.78186771
968,-46.78186771
969,-46.79339541
970,-46.78186771
971,-46.39419428
972,-46.28468367
973,-46.80567837
974,-46.80567837
975,-46.89017952
976,-46.4118947
977,-46.32076036
978,-46.78186771
979,-46.39650811
980,-46.43817276
981,-46.78186771
982,-46.78186771
983,-46.78186771
984,-46.78186771
985,-46.78186771
986,-46.85855729
987,-46.60482226
988,-46.41593803
989,-46.39650811
990,-46.39650811
991,-46.40500999
992,-46.78186771
993,-46.78186771
994,-46.78186771
995,-46.78186771
996,-46.78186771
997,-46.76121224
998,-46.71023743
999,-46.71023743
1000,-46.32698486
1001,-46.78186771
1002,-46.78207531
1003,-46.51960283
1004,-46.43817276
1005,-46.43817276
1006,-46.88666681
1007,-46.78186771
1008,-46.17557608
1009,-46.17557608
1010,-46.17557608
1011,-46.78186771
1012,-46.57543059
1013,-46.78186771
1014,-46.40686632
1015,-46.40500999
1016,-46.40500999
1017,-46.70993199
1018,-46.77746742
1019,-46.30628763
1020,-46.78186771
1021,-46.78186771
1022,-46.80620794
1023,-46.78186771
1024,-46.63304222
1025,-46.78186771
1026,-46.78186771
1027,-46.78186771
1028,-46.56039801
1029,-46.68771475
1030,-46.72869699
1031,-46.6153583
1032,-46.53310422
1033,-46.63201117
1034,-46.64333469
1035,-46.33893283
1036,-46.33893283
1037,-46.56039801
1038,-46.56039801
1039,-46.71023743
1040,-46.71023743
1041,-46.46617442
1042,-46.31931977
1043,-46.78186771
1044,-46.17557608
1045,-46.78186771
1046,-46.55504695
1047,-46.63761546
1048,-46.63761546
1049,-46.78186771
1050,-46.85447859
1051,-46.85447859
1052,-46.41984049
1053,-46.74319345
1054,-46.78050098
1055,-46.78186771
1056,-46.78186771
1057,-46.78186771
1058,-46.78186771
1059,-46.78186771
1060,-46.78186771
1061,-46.78186771
1062,-46.64248857
1063,-46.79498406
1064,-46.59935246
1065,-46.57543059
1066,-46.57543059
1067,-46.78186771
1068,-46.63761546
1069,-46.78186771
1070,-46.66770766
1071,-46.66770766
1072,-46.78186771
1073,-46.78186771
1074,-46.78186771
1075,-46.78186771
1076,-46.78186771
1077,-46.78186771
1078,-46.78186771
1079,-46.78186771
1080,-46.79359478
1081,-46.78186771
1082,-46.78186771
1083,-46.78186771
1084,-46.78186771
1085,-46.78186771
1086,-46.78186771
1087,-46.78186771
1088,-46.30571469
1089,-46.66660674
1090,-46.78186771
1091,-46.78186771
1092,-46.72869699
1093,-46.78186771
1094,-46.78186771
1095,-46.78186771
1096,-46.78186771
1097,-46.78186771
1098,-46.78186771
1099,-46.78186771
1100,-46.78186771
1101,-46.78186771
1102,-46.17557608
1103,-46.78186771
1104,-46.59781187
1105,-46.30628763
1106,-46.39044839
1107,-46.39044839
1108,-46.30385335
1109,-46.55121397
1110,-46.63304222
1111,-46.61519738
1112,-46.78186771
1113,-46.78186771
1114,-46.79025008
1115,-45.96350265
1116,-46.78186771
1117,-46.8066631
1118,-46.8066631
1119,-46.80620794
1120,-46.78186771
1121,-46.78186771
1122,-46.78186771
1123,-46.78186771
1124,-46.78186771
1125,-46.56039801
1126,-46.56735235
1127,-46.78186771
1128,-46.82287019
1129,-46.74319345
1130,-46.65423301
1131,-46.65423301
1132,-46.71023743
1133,-46.78186771
1134,-46.78186771
1135,-46.78186771
1136,-46.79339541
1137,-46.80559542
1138,-46.78050098
1139,-46.78050098
1140,-46.78186771
1141,-46.78186771
1142,-46.78186771
1143,-46.78186771
1144,-46.78186771
1145,-46.63149401
1146,-46.78186771
1147,-46.79339541
1148,-46.71182076
1149,-46.63534231
1150,-46.78186771
1151,-46.41133292
1152,-46.78186771
1153,-46.78186771
1154,-46.78186771
1155,-46.78186771
1156,-46.62187225
1157,-46.78186771
1158,-46.78186771
1159,-46.78186771
1160,-46.65120635
1161,-46.63938551
1162,-46.78186771
1163,-46.78186771
1164,-46.56735235
1165,-46.56735235
1166,-46.78186771
1167,-46.78186771
1168,-46.78186771
1169,-46.78186771
1170,-46.78186771
1171,-46.78186771
1172,-46.53310422
1173,-46.78186771
1174,-46.58559143
1175,-46.30777921
1176,-46.30777921
1177,-46.31832143
1178,-46.78186771
1179,-46.62831132
1180,-46.78186771
1181,-46.78186771
1182,-46.78186771
1183,-46.3313343
1184,-46.3313343
1185,-46.87737914
1186,-46.3313343
1187,-46.68771475
1188,-46.78186771
1189,-46.78186771
1190,-46.78186771
1191,-46.78186771
1192,-46.89017952
1193,-46.89017952
1194,-46.71908161
1195,-46.29406221
1196,-46.62536034
1197,-46.78186771
1198,-46.78186771
1199,-46.78186771
1200,-46.78186771
1201,-46.78186771
1202,-46.78186771
1203,-46.78186771
1204,-46.64436893
1205,-46.64436893
1206,-46.41593803
1207,-46.78186771
1208,-46.78186771
1209,-46.78186771
1210,-46.84333019
1211,-46.84333019
1212,-46.78186771
1213,-46.48623921
1214,-46.76121224
1215,-46.76121224
1216,-46.78186771
1217,-46.78186771
1218,-46.78186771
1219,-46.78186771
1220,-46.79359478
1221,-46.78186771
1222,-46.78186771
1223,-46.78186771
1224,-46.78186771
1225,-46.82559701
1226,-46.28415015
1227,-46.28415015
1228,-46.78186771
1229,-46.78186771
1230,-46.58559143
1231,-46.29231205
1232,-46.29231205
1233,-46.31832143
1234,-46.66660674
1235,-46.66660674
1236,-46.4239897
1237,-46.78186771
1238,-46.78186771
1239,-46.63761546
1240,-46.78186771
1241,-46.64333469
1242,-46.51960283
1243,-46.62526742
1244,-46.78186771
1245,-46.64248857
1246,-46.79498406
1247,-46.41133292
1248,-46.78186771
1249,-46.2851868
1250,-46.97982371
1251,-46.78186771
1252,-46.30628763
1253,-46.70993199
1254,-46.42773354
1255,-46.62187225
1256,-46.89017952
1257,-46.78186771
1258,-46.78186771
1259,-46.78186771
1260,-46.78186771
1261,-46.61191919
1262,-46.78186771
1263,-46.48623921
1264,-46.78186771
1265,-46.78186771
1266,-46.60482226
1267,-46.71023743
1268,-46.56735235
1269,-46.78186771
1270,-46.78186771
1271,-46.78186771
1272,-46.78186771
1273,-46.78186771
1274,-46.54944355
1275,-46.78186771
1276,-46.41984049
1277,-46.41984049
1278,-46.61191919
1279,-46.61191919
1280,-46.78186771
1281,-46.71182076
1282,-46.33097508
1283,-46.78186771
1284,-46.78186771
1285,-46.64655583
1286,-46.78186771
1287,-46.78186771
1288,-46.78186771
1289,-46.78186771
1290,-46.41293189
1291,-46.78186771
1292,-46.40686632
1293,-46.40686632
1294,-46.40686632
1295,-46.78186771
1296,-46.78186771
1297,-46.65120635
1298,-46.78186771
1299,-46.63938551
1300,-46.62831132
1301,-46.78186771
1302,-46.78186771
1303,-46.78186771
1304,-46.78186771
1305,-46.78186771
1306,-46.78186771
1307,-46.78186771
1308,-46.78186771
1309,-46.78186771
1310,-46.80351716
1311,-46.78186771
1312,-46.35888847
1313,-46.35888847
1314,-46.78186771
1315,-46.78186771
1316,-46.55504695
1317,-46.78186771
1318,-46.64436893
1319,-46.88666681
1320,-46.88666681
1321,-46.88666681
1322,-46.78186771
1323,-46.78186771
1324,-46.78186771
1325,-46.78186771
1326,-46.53736143
1327,-46.78186771
1328,-45.96350265
1329,-46.78186771
1330,-46.78186771
1331,-46.78186771
1332,-46.82287019
1333,-46.82287019
1334,-46.4605787
1335,-46.29231205
1336,-46.29231205
1337,-46.78186771
1338,-46.78186771
1339,-46.78186771
1340,-46.78186771
1341,-46.78186771
1342,-46.78186771
1343,-46.78186771
1344,-46.78186771
1345,-46.59526696
1346,-46.78186771
1347,-46.78186771
1348,-46.97982371
1349,-46.78186771
1350,-46.78186771
1351,-46.78186771
1352,-46.78186771
1353,-46.74319345
1354,-46.65423301
1355,-46.78186771
1356,-46.78186771
1357,-46.78186771
1358,-46.78186771
1359,-46.64105711
1360,-46.69501425
1361,-46.70867737
1362,-46.79339541
1363,-46.79339541
1364,-46.78186771
1365,-46.71757941
1366,-46.87917255
1367,-46.72952413
1368,-46.78186771
1369,-46.78186771
1370,-46.78186771
1371,-46.78069906
1372,-46.78069906
1373,-46.39419428
1374,-46.52797713
1375,-46.28468367
1376,-46.78186771
1377,-46.86098861
1378,-46.78186771
1379,-46.78186771
1380,-46.78186771
1381,-46.78186771
1382,-46.78186771
1383,-46.78186771
1384,-46.78186771
1385,-46.54944355
1386,-46.78186771
1387,-46.78186771
1388,-46.78186771
1389,-46.61841507
1390,-46.84333019
1391,-46.78186771
1392,-46.78186771
1393,-46.78186771
1394,-46.78526452
1395,-46.64241768
1396,-46.64241768
1397,-46.78186771
1398,-46.33257837
1399,-46.82559701
1400,-46.28415015
1401,-46.92450988
1402,-46.8008286
1403,-46.32698486
1404,-46.78186771
1405,-46.78186771
1406,-46.78186771
1407,-46.78186771
1408,-46.78186771
1409,-46.4239897
1410,-46.78186771
1411,-46.78186771
1412,-46.70993199
1413,-46.78186771
1414,-46.78186771
1415,-46.6395454
1416,-46.78186771
1417,-46.78186771
1418,-46.7377154
1419,-46.78186771
1420,-46.78186771
1421,-46.78186771
1422,-46.56733789
1423,-46.78186771
1424,-46.30628763
1425,-46.78186771
1426,-46.5488779
1427,-46.5488779
1428,-46.85447859
1429,-46.55504695
1430,-46.78186771
1431,-46.78186771
1432,-46.78186771
1433,-46.78186771
1434,-46.63304222
1435,-46.60482226
1436,-46.46617442
1437,-46.46617442
1438,-46.28470724
1439,-46.4239897
1440,-46.78186771
1441,-46.17862775
1442,-46.78186771
1443,-46.78186771
1444,-46.78186771
1445,-46.36868651
1446,-46.78186771
1447,-46.78186771
1448,-46.78186771
1449,-46.78186771
1450,-46.78186771
1451,-46.64034447
1452,-46.78186771
1453,-46.78186771
1454,-46.28470724
1455,-46.31931977
1456,-46.31931977
1457,-46.78186771
1458,-46.78186771
1459,-46.78186771
1460,-46.64655583
1461,-46.78186771
1462,-46.78186771
1463,-46.66497745
1464,-46.66497745
1465,-46.33097508
1466,-46.33097508
1467,-46.52797713
1468,-46.52797713
1469,-46.4605787
1470,-46.3950146
1471,-46.78186771
1472,-46.78186771
1473,-46.78186771
1474,-46.78186771
1475,-46.78186771
1476,-46.78186771
1477,-46.72854562
1478,-46.78186771
1479,-46.78186771
1480,-45.96350265
1481,-46.78186771
1482,-46.78186771
1483,-46.78186771
1484,-46.40564518
1485,-46.40564518
1486,-46.78186771
1487,-46.78186771
1488,-46.65120635
1489,-46.78186771
1490,-46.63938551
1491,-46.78186771
1492,-46.78186771
1493,-46.78186771
1494,-46.78186771
1495,-46.78186771
1496,-46.78186771
1497,-46.82559701
1498,-46.76903123
